Team,Player,#,Class,Pos,Height,Weight,Hometown,High School,Summary
Maryland,Travis Valmon,20,FR,G,1-Jun,175,"Rockville, MD",,"0.4 Pts, 0.4 Reb"
Maryland,Dion Wiley,5,SO,G,4-Jun,210,"Oxon Hill, MD",Potomac HS,"3.1 Pts, 1.4 Reb, 0.6 Ast"
Minnesota,Amir Coffey,5,FR,G,8-Jun,195,"Hopkins, MN",,"12.2 Pts, 3.8 Reb, 3.1 Ast"
Minnesota,Eric Curry,24,FR,F,9-Jun,235,"Memphis, TN",,"5.5 Pts, 5.2 Reb, 1.2 Ast"
Minnesota,Gaston Diedhiou,41,JR,F,9-Jun,230,"Dakar, Senegal",Canarias Academy,"0.5 Pts, 0.5 Reb"
Minnesota,Davonte Fitzgerald,20,JR,F,8-Jun,220,"Atlanta, GA",Tucker,
Minnesota,Ahmad Gilbert,32,SO,G,6-Jun,210,"Philadelphia, PA",Constitution HS,"1.7 Pts, 0.9 Reb, 0.1 Ast"
Minnesota,Darin Haugh,10,SR,G,10-May,160,"Prior Lake, MN",,"0.4 Reb, 0.4 Ast"
Minnesota,Michael Hurt,42,FR,F,7-Jun,200,"Rochester, MN",,"0.7 Pts, 0.5 Reb, 0.2 Ast"
Minnesota,Jarvis Johnson,12,SO,G,1-Jun,185,"Minneapolis, MN",DeLaSalle HS,
Minnesota,Bakary Konate,21,JR,C,11-Jun,230,"Bamako, Mali",Sunrise Christian Academy,"1.6 Pts, 2.8 Reb, 0.1 Ast"
Minnesota,Reggie Lynch,22,JR,C,10-Jun,257,"Edina, MN",Edina,"8.4 Pts, 6.1 Reb, 0.5 Ast"
Minnesota,Nate Mason,2,JR,G,1-Jun,180,"Decatur, GA",Arlington Country Day,"15.2 Pts, 3.6 Reb, 5.0 Ast"
Minnesota,Dupree McBrayer,1,SO,G,4-Jun,175,"Queens, NY",,"11.1 Pts, 2.0 Reb, 2.7 Ast"
Minnesota,Jordan Murphy,3,SO,F,6-Jun,230,"San Antonio, TX",Brennan HS,"11.3 Pts, 8.8 Reb, 0.9 Ast"
Minnesota,Brady Rudrud,4,FR,G,2-Jun,185,"Eden Prairie, MN",,"1.2 Pts, 0.2 Reb"
Minnesota,Stephon Sharp,15,SO,G,3-Jun,195,"Bloomington, MN",Hopkins HS,"0.2 Pts, 0.1 Ast"
Minnesota,Akeem Springs,0,SR,G,4-Jun,210,"Waukegan, IL",Waukegan Township,"9.5 Pts, 3.0 Reb, 1.3 Ast"
Michigan,Muhammad-Ali Abdur-Rahkman,12,JR,G,4-Jun,175,"Allentown, PA",Central Catholic HS,"9.1 Pts, 2.8 Reb, 1.9 Ast"
Michigan,Andrew Dakich,11,SR,G,2-Jun,190,"Zionsville, IN",Zionsville Community HS,
Michigan,Austin Davis,51,FR,F,10-Jun,240,"Onsted, MI",,
Michigan,Mark Donnal,34,SR,F,9-Jun,240,"Monclova, OH",Anthony Wayne HS,"3.9 Pts, 2.0 Reb, 0.1 Ast"
Michigan,Brent Hibbitts,0,SO,F,8-Jun,190,"Hudsonville, MI",Hudsonville HS,"0.3 Pts, 0.4 Reb, 0.2 Ast"
Michigan,Zak Irvin,21,SR,G,6-Jun,215,"Fishers, IN",Hamilton Southeastern HS,"13.0 Pts, 4.5 Reb, 3.0 Ast"
Michigan,Sean Lonergan,20,SR,F,5-Jun,200,"Fishers, IN",Fishers HS,"0.6 Pts, 0.4 Reb, 0.2 Ast"
Michigan,Charles Matthews,1,SO,G,6-Jun,190,"Chicago, IL",St. rita HS,
Michigan,Duncan Robinson,22,SR,G,8-Jun,190,"New Castle, NH",Phillips Exeter Academy (NH),"7.7 Pts, 1.7 Reb, 0.9 Ast"
Michigan,Xavier Simpson,3,FR,G,1-Jun,180,"Lima, OH",,"1.6 Pts, 0.6 Reb, 1.0 Ast"
Michigan,Jon Teske,15,FR,C,1-Jul,245,"Medina, OH",,"0.2 Pts, 0.6 Reb, 0.1 Ast"
Michigan,Moritz Wagner,13,SO,F,10-Jun,210,"Berlin, Germany",,"12.1 Pts, 4.2 Reb, 0.5 Ast"
Michigan,Derrick Walton,10,SR,G,Jun-00,185,"Detroit, MI",Chandler Park Academy,"15.5 Pts, 4.8 Reb, 4.9 Ast"
Michigan,Ibi Watson,23,FR,G,5-Jun,190,"Pickerington, OH",,"1.3 Pts, 0.4 Reb, 0.1 Ast"
Michigan,D.J. Wilson,5,JR,F,9-Jun,220,"Sacramento, CA",Capital Christian,"11.0 Pts, 5.3 Reb, 1.3 Ast"
Michigan,Fred Wright-Jones,14,SO,G,11-May,170,"Detroit, MI",,"0.4 Pts, 0.1 Reb"
Northwestern,Jordan Ash,23,SO,G,3-Jun,185,"Bolingbrook, IL",St. Joseph HS,"0.6 Pts, 0.5 Reb, 0.4 Ast"
Northwestern,Barret Benson,25,FR,C,10-Jun,240,"Willowbrook, IL",,"2.0 Pts, 1.6 Reb, 0.4 Ast"
Northwestern,Isiah Brown,12,FR,G,2-Jun,175,"Seattle, WA",,"6.3 Pts, 1.2 Reb, 1.2 Ast"
Northwestern,Aaron Falzon,35,SO,F,8-Jun,205,"Newton, MA",,"0.7 Reb, 1.0 Ast"
Northwestern,Charlie Hall,10,SO,F,5-Jun,205,"Los Angeles, CA",,0.6 Reb
Northwestern,Rapolas Ivanauskas,14,FR,F,9-Jun,210,"Barrington, IL",,
Northwestern,Vic Law,4,SO,F,7-Jun,185,"South Holland, IL",St. Rita's HS,"12.3 Pts, 5.8 Reb, 1.8 Ast"
Northwestern,Scottie Lindsey,20,JR,G,5-Jun,175,"Hillside, IL",Fenwick HS,"14.1 Pts, 3.8 Reb, 2.3 Ast"
Northwestern,Sanjay Lumpkin,34,SR,G,6-Jun,220,"Wayzata, MN",Benilde-St. Margaret's HS,"6.0 Pts, 5.4 Reb, 1.4 Ast"
Northwestern,Tino Malnati,21,FR,G,3-Jun,175,"Northfield, IL",,
Northwestern,Bryant McIntosh,30,JR,G,3-Jun,177,"Greensburg, IN",Greensburg HS,"14.8 Pts, 2.8 Reb, 5.2 Ast"
Northwestern,Dererk Pardon,5,SO,C,8-Jun,235,"Cleveland, OH",Villa Angela-St. Joseph HS,"8.6 Pts, 8.1 Reb, 1.1 Ast"
Northwestern,Gavin Skelly,44,JR,F,8-Jun,219,"Westlake, OH",Westlake HS,"5.9 Pts, 3.7 Reb, 1.3 Ast"
Northwestern,Nathan Taphorn,32,SR,F,7-Jun,215,"Pekin, IL",Pekin HS,"4.5 Pts, 1.5 Reb, 0.7 Ast"
Michigan State,Kyle Ahrens,0,SO,G,5-Jun,205,"Versailles, OH",Versailles HS,"2.6 Pts, 1.1 Reb, 0.2 Ast"
Michigan State,Miles Bridges,22,FR,G,7-Jun,230,"Flint, MI",,"16.9 Pts, 8.3 Reb, 2.1 Ast"
Michigan State,Ben Carter,13,SR,F,9-Jun,225,"Las Vegas, NV",Bishop Gorman,
Michigan State,Alvin Ellis,3,SR,G,4-Jun,205,"Matteson, IL",Chicago De La Salle HS,"6.4 Pts, 3.1 Reb, 1.2 Ast"
Michigan State,Conner George,41,FR,G,3-Jun,185,"Okemos, MI",,"0.6 Pts, 0.3 Reb, 0.1 Ast"
Michigan State,Kenny Goins,25,SO,F,6-Jun,215,"Troy, MI",Warren Mott HS,"3.4 Pts, 4.5 Reb, 0.6 Ast"
Michigan State,Eron Harris,14,SR,G,3-Jun,195,"Indianapolis, IN",Lawrence North,"10.7 Pts, 3.0 Reb, 1.7 Ast"
Michigan State,Joshua Langford,1,FR,G,5-Jun,210,"Huntsville, AL",,"6.9 Pts, 2.3 Reb, 1.1 Ast"
Michigan State,Matt McQuaid,20,SO,G,5-Jun,185,"Duncanville, TX",Duncanville HS,"5.6 Pts, 1.9 Reb, 1.2 Ast"
Michigan State,Lourawls Nairn,11,JR,G,10-May,170,"Nassau, Bahamas",Sunrise Christian Academy (KS),"3.5 Pts, 2.5 Reb, 3.6 Ast"
Michigan State,David Nsengiyumva,35,,F,9-Jun,205,,,
Michigan State,Greg Roy,40,JR,G,3-Jun,200,"Fort Worth, TX",North Crowley (TX),"0.4 Pts, 0.1 Reb"
Michigan State,Gavin Schilling,34,SR,F,9-Jun,240,"Chicago, IL",Findlay Prep (NV),
Michigan State,Matt Van Dyk,30,SR,F,5-Jun,205,"Imlay City, MI",Imlay City HS,"1.3 Pts, 1.7 Reb, 0.4 Ast"
Michigan State,Nick Ward,44,FR,F,8-Jun,250,"Gahanna, OH",,"13.9 Pts, 6.5 Reb, 0.4 Ast"
Michigan State,Cassius Winston,5,FR,G,Jun-00,185,"Detroit, MI",,"6.7 Pts, 1.8 Reb, 5.2 Ast"
Iowa,Nicholas Baer,51,SO,F,7-Jun,187,"Bettendorf, IA",Bettendorf HS,"7.5 Pts, 5.8 Reb, 1.7 Ast"
Iowa,Jordan Bohannon,3,FR,G,1-Jun,182,"Marion, IA",,"10.9 Pts, 2.2 Reb, 5.1 Ast"
Iowa,Tyler Cook,5,FR,F,9-Jun,253,"St. Louis, MO",,"12.3 Pts, 5.3 Reb, 1.0 Ast"
Iowa,Maishe Dailey,1,FR,G,6-Jun,183,"Beachwood, OH",,"2.2 Pts, 1.6 Reb, 0.4 Ast"
Iowa,Brady Ellingson,24,SO,G,4-Jun,188,"Sussex, WI",Hamilton HS,"4.4 Pts, 1.1 Reb, 1.1 Ast"
Iowa,Peter Jok,14,SR,G,6-Jun,200,"West Des Moines, IA",Valley HS,"19.9 Pts, 5.5 Reb, 2.6 Ast"
Iowa,Dale Jones,23,SR,F,8-Jun,220,"Waterloo, IA",Waterloo West (IA),"0.6 Pts, 0.8 Reb, 0.2 Ast"
Iowa,Ryan Kriener,15,FR,F,9-Jun,247,"Spirit Lake, IA",,"3.1 Pts, 2.2 Reb, 0.4 Ast"
Iowa,Isaiah Moss,4,FR,G,5-Jun,175,"Chicago, IL",Simeon HS,"6.5 Pts, 1.6 Reb, 0.9 Ast"
Iowa,Cordell Pemsl,35,FR,F,8-Jun,249,"Dubuque, IA",,"8.9 Pts, 5.0 Reb, 1.1 Ast"
Iowa,Charlie Rose,11,JR,F,4-Jun,175,"Elmhurst, IL",York Community,"0.3 Pts, 0.1 Reb, 0.1 Ast"
Iowa,Riley Till,20,FR,F,6-Jun,192,"Dubuque, IA",,
Iowa,Dom Uhl,25,JR,F,8-Jun,195,"Frankfurt, Germany",Point Pleasant Beach (NJ),"3.5 Pts, 3.2 Reb, 1.2 Ast"
Iowa,Ahmad Wagner,0,SO,F,7-Jun,215,"Yellow Springs, OH",Wayne HS,"4.8 Pts, 3.4 Reb, 1.4 Ast"
Iowa,Christian Williams,10,SO,G,6-Jun,200,"Decatur, IL",St. Teresa HS,"2.4 Pts, 1.6 Reb, 1.6 Ast"
Illinois,Tracy Abrams,13,SR,G,2-Jun,185,"Chicago, IL",Mount Carmel HS,"8.6 Pts, 2.9 Reb, 2.3 Ast"
Illinois,Alex Austin,44,SR,G,4-Jun,185,"Chicago, IL",Chicago Mount Carmel,"0.4 Pts, 0.9 Reb"
Illinois,Leron Black,12,SO,F,7-Jun,220,"Memphis, TN",White Station HS,"8.1 Pts, 6.3 Reb, 0.4 Ast"
Illinois,Drew Cayce,10,SO,G,1-Jun,165,"Libertyville, IL",,
Illinois,Jalen Coleman-Lands,5,SO,G,3-Jun,180,"Indianapolis, IN",La Lumiere HS,"8.0 Pts, 2.3 Reb, 1.0 Ast"
Illinois,Michael Finke,43,SO,F,10-Jun,220,"Champaign, IL",Centennial HS,"6.9 Pts, 4.2 Reb, 0.7 Ast"
Illinois,Malcolm Hill,21,SR,G,6-Jun,230,"Fairview Heights, IL",Belleville East HS,"17.2 Pts, 5.1 Reb, 2.9 Ast"
Illinois,Clayton Jones,41,JR,G,1-Jun,170,"Champaign, IL",,0.4 Pts
Illinois,Aaron Jordan,23,SO,G,5-Jun,190,"Plainfield, IL",Plainfield East HS,"1.0 Pts, 1.1 Reb, 0.2 Ast"
Illinois,Cameron Liss,45,JR,F,6-Jun,220,"Northbrook, IL",Glenbrook North HS,
Illinois,Te'Jon Lucas,3,FR,G,1-Jun,170,"Milwaukee, WI",,"4.8 Pts, 1.9 Reb, 3.1 Ast"
Illinois,Maverick Morgan,22,SR,C,10-Jun,250,"Springboro, OH",Springboro HS,"9.9 Pts, 4.5 Reb, 0.9 Ast"
Illinois,Kipper Nichols,2,FR,F,6-Jun,225,"Cleveland, OH",St. Edward HS,"4.9 Pts, 2.9 Reb, 0.1 Ast"
Illinois,Samson Oladimeji,35,,G,4-Jun,195,,,"0.3 Pts, 0.4 Reb"
Illinois,Jaylon Tate,1,SR,G,3-Jun,170,"Chicago, IL",Simeon HS,"2.4 Pts, 1.3 Reb, 2.8 Ast"
Illinois,Mike Thorne,33,SR,C,11-Jun,270,"Fayetteville, NC",Trinity Christian,"5.0 Pts, 3.2 Reb, 0.3 Ast"
Illinois,D.J. Williams,0,SO,G,7-Jun,200,"Chicago, IL",Simeon HS,"2.3 Pts, 0.9 Reb, 0.5 Ast"
Ohio State,Keita Bates-Diop,33,JR,F,7-Jun,190,"Normal, IL",University HS,"9.7 Pts, 5.2 Reb, 1.3 Ast"
Ohio State,David Bell,10,SO,C,10-Jun,214,"Cleveland, OH",Garfield Heights HS,"1.3 Pts, 1.9 Reb, 0.1 Ast"
Ohio State,Derek Funderburk,4,FR,F,9-Jun,205,"Lakewood, OH",,
Ohio State,C.J. Jackson,3,SO,G,1-Jun,175,"Charlotte, NC",,"5.6 Pts, 2.5 Reb, 2.9 Ast"
Ohio State,Jimmy Jent,23,SO,G,4-Jun,185,"Columbus, OH",,"0.8 Pts, 1.0 Reb"
Ohio State,Joey Lane,14,SO,G,1-Jun,175,"Deerfield, IL",Deerfield HS,"1.8 Pts, 0.5 Reb"
Ohio State,Marc Loving,2,SR,F,7-Jun,215,"Toledo, OH",St. John Jesuit HS,"12.2 Pts, 4.7 Reb, 1.9 Ast"
Ohio State,JaQuan Lyle,13,SO,G,5-Jun,230,"Evansville, IN",,"11.4 Pts, 3.2 Reb, 4.6 Ast"
Ohio State,Micah Potter,0,FR,C,9-Jun,240,"Mentor, OH",,"4.1 Pts, 3.1 Reb, 0.3 Ast"
Ohio State,Jae'Sean Tate,1,JR,F,4-Jun,190,"Pickerington, OH",Pickerington Central,"14.3 Pts, 6.4 Reb, 2.0 Ast"
Ohio State,Trevor Thompson,32,JR,C,11-Jun,210,"Indianapolis, IN",St. John's Northwestern Military Academy,"10.6 Pts, 9.2 Reb, 0.4 Ast"
Ohio State,Andre Wesson,24,FR,F,6-Jun,220,"Westerville, OH",,"2.3 Pts, 1.2 Reb, 0.3 Ast"
Ohio State,Kam Williams,15,JR,G,2-Jun,175,"Baltimore, MD",Mount St. Joseph's HS,"9.4 Pts, 2.1 Reb, 1.0 Ast"
Indiana,OG Anunoby,3,SO,F,8-Jun,215,"Jefferson City, MO",Jefferson City,"11.1 Pts, 5.4 Reb, 1.4 Ast"
Indiana,James Blackmon,1,JR,G,4-Jun,190,"Marion, IN",Marion,"17.0 Pts, 4.8 Reb, 1.9 Ast"
Indiana,Thomas Bryant,31,SO,C,10-Jun,245,"Rochester, NY",Bishop Kearney / Huntington Prep,"12.6 Pts, 6.6 Reb, 1.5 Ast"
Indiana,De'Ron Davis,20,FR,F,10-Jun,240,"Aurora, CO",,"5.9 Pts, 3.1 Reb, 0.9 Ast"
Indiana,Grant Gelon,24,FR,G,5-Jun,195,"Crown Point, IN",,"1.8 Pts, 0.4 Reb"
Indiana,Devonte Green,11,FR,G,3-Jun,186,"North Babylon, NY",,"4.4 Pts, 1.8 Reb, 1.1 Ast"
Indiana,Collin Hartman,30,SR,F,7-Jun,220,"Indianapolis, IN",Cathedral HS,
Indiana,Johnny Jager,10,SO,G,Jun-00,180,"Bloomington, IN",,
Indiana,Robert Johnson,4,JR,G,3-Jun,195,"Richmond, VA",Benedictine College Prep,"12.8 Pts, 4.4 Reb, 2.5 Ast"
Indiana,Curtis Jones,0,FR,G,4-Jun,175,"Richmond, VA",,"3.5 Pts, 1.3 Reb, 0.9 Ast"
Indiana,Zach McRoberts,15,SO,G,6-Jun,201,"Carmel, IN",Carmel,"0.8 Pts, 1.5 Reb, 0.9 Ast"
Indiana,Freddie McSwain,21,JR,F,6-Jun,215,"Hinesville, GA",,"2.7 Pts, 2.5 Reb, 0.1 Ast"
Indiana,Juwan Morgan,13,SO,F,7-Jun,205,"Waynesville, MO",Waynesville HS,"7.7 Pts, 5.6 Reb, 1.1 Ast"
Indiana,Josh Newkirk,2,JR,G,1-Jun,185,"Raleigh, NC",Word of God Academy,"9.0 Pts, 3.1 Reb, 3.1 Ast"
Indiana,Tim Priller,35,JR,F,9-Jun,220,"North Richland Hills, TX",Richland HS,"1.9 Pts, 1.1 Reb, 0.4 Ast"
Indiana,Quentin Taylor,22,SO,G,2-Jun,180,"Indianapolis, IN",Brebeuf HS (IN),"0.3 Pts, 0.3 Reb"
Penn State,Payton Banks,0,JR,F,6-Jun,220,"Orange, CA",Lutheran HS,"10.4 Pts, 2.2 Reb, 1.0 Ast"
Penn State,Nazeer Bostick,4,FR,G,4-Jun,187,"Philadelphia, PA",Roman Catholic,"1.3 Pts, 0.8 Reb, 0.3 Ast"
Penn State,Tony Carr,10,FR,G,3-Jun,198,"Philadelphia, PA",Roman Catholic,"13.2 Pts, 4.8 Reb, 4.2 Ast"
Penn State,Shep Garner,33,JR,G,1-Jun,185,"Chester, PA",Roman Catholic HS,"12.0 Pts, 2.8 Reb, 2.4 Ast"
Penn State,Grant Hazle,22,FR,F,5-Jun,192,"Kingwood, TX",Westbury Christian,0.5 Pts
Penn State,Julian Moore,44,JR,F,10-Jun,235,"Philadelphia, PA",Germantown Academy,"2.8 Pts, 2.9 Reb, 0.3 Ast"
Penn State,Satchel Pierce,32,JR,F,Jul-00,258,"Barberton, OH",Kiski (PA),
Penn State,Josh Reaves,23,SO,G,4-Jun,190,"Fairfax, VA",Oak Hill Academy,"7.7 Pts, 4.0 Reb, 2.1 Ast"
Penn State,Terrence Samuel,5,JR,G,4-Jun,202,"Brooklyn, NY",Victory,"3.9 Pts, 2.3 Reb, 1.8 Ast"
Penn State,Lamar Stevens,11,FR,F,7-Jun,218,"North Wales, PA",Roman Catholic,"12.7 Pts, 5.6 Reb, 1.7 Ast"
Penn State,Isaiah Washington,21,SO,G,3-Jun,160,"Williamsport, PA",Williamsport HS,"0.7 Pts, 0.3 Reb, 0.1 Ast"
Penn State,Mike Watkins,24,FR,F,8-Jun,225,"Philadelphia, PA",The Phelps School,"9.7 Pts, 8.0 Reb, 0.6 Ast"
Penn State,Deividas Zemgulis,1,SO,F,6-Jun,220,"Kaunas, Lithuania",St. Mary Ryken HS,"0.8 Pts, 0.7 Reb, 0.1 Ast"
Penn State,Alex Zhao,20,SO,F,6-Jun,220,"Shenyang, China",Bishop O'Dowd (Calif.),0.2 Reb
Nebraska,Tanner Borchardt,41,,F,8-Jun,275,"Gothenburg, NE",Gothenburg HS,
Nebraska,Mohammad Elradi,21,,G,3-Jun,185,,,"1.0 Pts, 0.5 Reb, 0.5 Ast"
Nebraska,Nick Fuller,23,JR,F,6-Jun,199,"Sun Prairie, WI",Sun Prairie HS,"1.1 Pts, 1.1 Reb, 0.3 Ast"
Nebraska,Anton Gill,1,,G,8-Jun,195,,Ravenscroft/Hargrave Military Academy,"3.8 Pts, 1.9 Reb, 0.5 Ast"
Nebraska,Jeriah Horne,2,FR,F,7-Jun,222,"Overland Park, KS",,"4.3 Pts, 1.9 Reb, 0.4 Ast"
Nebraska,Michael Jacobson,12,SO,F,8-Jun,220,"Waukee, IA",Waukee HS,"6.0 Pts, 6.2 Reb, 1.1 Ast"
Nebraska,Malcolm Laws,13,JR,G,1-Jun,195,"Orlando, FL",Lake Highland Prep,"0.4 Pts, 0.2 Reb"
Nebraska,Jack McVeigh,10,SO,F,7-Jun,210,"Cabarita Beach, Australia",,"7.5 Pts, 2.5 Reb, 0.6 Ast"
Nebraska,Ed Morrow,30,SO,F,7-Jun,215,"Chicago, IL",,"9.4 Pts, 7.5 Reb, 0.3 Ast"
Nebraska,James Palmer,24,,G,6-Jun,213,,St. John's College HS,
Nebraska,Isaiah Roby,15,FR,F,8-Jun,214,"Dixon, IL",,"3.1 Pts, 2.9 Reb, 0.7 Ast"
Nebraska,Jason Shultis,3,SO,G,1-Jun,198,"Dannebrog, NE",,1.5 Reb
Nebraska,Evan Taylor,11,JR,G,4-Jun,205,"Cincinnati, OH",Paul VI,"5.2 Pts, 2.9 Reb, 1.2 Ast"
Nebraska,Jordy Tshimanga,32,FR,C,11-Jun,275,"Quebec, Canada",,"5.0 Pts, 4.0 Reb, 0.3 Ast"
Nebraska,Glynn Watson Jr.,5,SO,G,Jun-00,160,"Bellwood, IL",St. Joseph HS,"13.0 Pts, 3.0 Reb, 2.6 Ast"
Nebraska,Tai Webster,0,SR,G,4-Jun,199,"Auckland, New Zealand",Westlake Boys HS,"17.0 Pts, 5.1 Reb, 4.0 Ast"
Rutgers,Khalil Batie,23,SR,G,10-May,165,"Willingboro, NJ",Trenton Catholic Academy,"0.4 Pts, 0.4 Reb, 0.3 Ast"
Rutgers,Matt Bullock,13,FR,F,4-Jun,260,"Elizabeth, NJ",,
Rutgers,Jake Dadika,15,JR,G,11-May,160,"Milltown, NJ",Spotswood HS,"0.2 Pts, 0.2 Reb, 0.5 Ast"
Rutgers,Ibrahima Diallo,32,SO,F,10-Jun,240,"Dakar, Senegal",Boyd Anderson HS,"0.8 Pts, 1.8 Reb, 0.3 Ast"
Rutgers,Shaquille Doorson,2,SO,C,11-Jun,275,"Amsterdam, Netherlands",Canarias Basketball Academy,"1.3 Pts, 1.6 Reb, 0.3 Ast"
Rutgers,Joey Downes,22,,G,11-May,163,,,1.0 Reb
Rutgers,DeShawn Freeman,33,JR,F,7-Jun,220,"Rocky Mount, NC",,"11.1 Pts, 7.8 Reb, 0.9 Ast"
Rutgers,C.J. Gettys,34,SR,C,Jul-00,275,"Columbus, OH",Findlay HS,"7.7 Pts, 5.2 Reb, 1.2 Ast"
Rutgers,Nigel Johnson,0,JR,G,1-Jun,185,"Ashburn, VA",Riverdale Baptist (MD),"11.3 Pts, 3.3 Reb, 2.0 Ast"
Rutgers,Jonathan Laurent,4,SO,F,6-Jun,210,"Orlando, FL",,"3.0 Pts, 2.4 Reb, 0.4 Ast"
Rutgers,Eugene Omoruyi,11,FR,F,6-Jun,230,"Ontario, Canada",,"2.4 Pts, 2.2 Reb, 1.0 Ast"
Rutgers,Candido Sa,21,JR,F,9-Jun,227,"Lisbon, Portugal",,"3.2 Pts, 2.8 Reb, 0.3 Ast"
Rutgers,Corey Sanders,3,SO,G,2-Jun,175,"Lakeland, FL",,"12.8 Pts, 3.2 Reb, 3.2 Ast"
Rutgers,Aaren Smith,10,,F,6-Jun,211,,,
Rutgers,Issa Thiam,35,FR,F,9-Jun,190,"Dakar, Senegal",,"3.8 Pts, 1.7 Reb, 0.3 Ast"
Rutgers,Mike Williams,5,JR,G,2-Jun,190,"Brooklyn, NY",Bishop Loughlin HS,"9.4 Pts, 5.1 Reb, 1.1 Ast"
